question;answer
What year where there most casualties from man-made disasters in the recorded data?;2002. In that year more than 10,000 casualties are ascribed to man-made catastrophes.
In what year did the quantity of man-made disasters peak in the recorded data between 1970 and 2023?;Man-made disasters peaked in 2005
Between 1970 and 2023 what year in the data shows the largest number of natural catastrophes?;2023.  There were 218 instances of natural catastrophes.
What year between 1994 and 2023 had the most high severity ($5 billion in damages or more) natural catastrophes?;2011 with 6.
How much higher are the 2023 insured losses than the previous 10 year average?;They are higher by 21%.
Which figure shows the trend in insured losses over data from 1994 to 2023? In this figure, what is the highest insured loss year on record?;
Before 2023, what was the highest year on record for European Severe Convective Storm losses?;
What regions does the Swiss Re report on natural catastrophes split the US into for severe convective storm risk?;
What is the highest Benefit to Cost ratio building code element described in the Swiss Re report on natural catastrophes?;
According to the Swiss Re Institute report on natural catastrophes, 2017 was a standout year in terms of insured loss damages. What were the names of the weather events which contributed most to this figure?;
Given how the Swiss Re Institute classifies primary and secondary perils, to which category can we attribute more losses in 2023? How is insurance claim tracking characterized in this category?;
In historical data from the Swiss Re Institute, which geographical grouping of countries has the smallest proportion of insured losses to uninsured losses between 2014 and 2023?;
What is the lower bound of dead or missing which have to be reported in connection to a natural catastrophe in order for the Swiss Re data to report it in their statistics?;
Excluding the overall UN average, which group of nations have more than 100 mobile broadband subscriptions per 100 residents in 2024?;
According to survey data, which feature of government web-portals experienced the largest between 2022 and 2024?;
When were the simplified four stages of E-government adoption published? Which revision of the EGDI is this related to?;
Between what years was the EGDI revision 3.0 acive?;
Given when academic articles using the term started being published, when were the terms E-government development index and Online services index introduced?;
Of the questions highlighted from the Member States Questionnaire in a chart, is there a discontinuity in the numbering of the questions featured? If so, which numbers are missing?;
What was the percentage increase over all the 193 UN member states in EGDI scores between 2022 and 2024?;
Of the countries with very high OSI levels and high EGDI divergence what is the one with the lowest Telecommunications Infrasructure Index?;
What grouping of nations has the closest OSI subindex average to the overall UN 193 average?;
Why did the average number of provided online services increase while the percentage stayed the same between 2022 and 2024? How many services were assessed in each of the 2 years?;
What percentage of european countries support filing income tax online?;
In what percentage of countries in Oceania is one able to apply for a death certificate through a fully digitized process?;
What region of the world contains the countries that enable fully digitized vehicle regitration? What is the percentage of countries in this region that support this?;
In what percentage of countries in the Americas is one able to apply for disability compensation in at least a partially online manner?;
What number of countries in Africa support digital invoicing? What is the percentage increase in that figure since 2022?;
What number of countries in Europe offer an E-procurement platform? Not percentage, number of countries.;
What fully digital service for individuals in vulnerable situations experienced the largest percentge decline between 2022 and 2024?;
What service for individuals in vulnerable situations has no fully digitized component in Oceania?;
What proportion of countries offer judiciary services in a way that is accessible on mobile or through an app?;
What landlocked countries have moved from high to very high E-government development index in the survey period?;
What small island nation moved from the middle to the high EGDI group in the last survey period?;
How has Japan named their initiative for removing bureaucratic inefficiencies and improving their digital government tools? What is the project's initial budget?;
What two departments of the UK govenrment have been merged in the effort to enhance their digital transformation?;
What country grouping appears to have the most drastic difference between EGDI levels of it's constituents?;
What is the change in percentage of cities providing information on procurement between 2022 and 2024?;
In the year before the two investment segments equalized, what was the amount invested in energy transition power generation vs fossil fuel power generation?;
How many of the top 10 costliest environmental disasters of 2023 occurred in Latin America? Which country faced the msot expensive one?;
